TestCase,GridSize,ThreadsX,ThreadsY,TotalThreads,TimeSeconds
1,256x256,2,2,4,.189615666
1,256x256,4,4,16,.082382433
1,256x256,8,8,64,.056939933
1,256x256,16,16,256,.052090400
1,256x256,32,32,1024,.000965746
1,256x256,64,64,4096,.000929102
1,256x256,128,128,16384,.000913115
1,256x256,256,256,65536,.000934781
1,512x512,2,2,4,1.317023333
1,512x512,4,4,16,.431586000
1,512x512,8,8,64,.241467666
1,512x512,16,16,256,.214858000
1,512x512,32,32,1024,.001931930
1,512x512,64,64,4096,.001854886
1,512x512,128,128,16384,.001841340
1,512x512,256,256,65536,.001865366
1,512x512,512,512,262144,.001851646
1,1024x1024,2,2,4,9.763670000
1,1024x1024,4,4,16,2.976543333
1,1024x1024,8,8,64,1.340110000
1,1024x1024,16,16,256,1.141030000
1,1024x1024,32,32,1024,.005620076
1,1024x1024,64,64,4096,.005423756
1,1024x1024,128,128,16384,.005500423
1,1024x1024,256,256,65536,.005524343
1,1024x1024,512,512,262144,.005488883
1,1024x1024,1024,1024,1048576,.005485380
1,2048x2048,2,2,4,77.596266666
1,2048x2048,4,4,16,21.989600000
1,2048x2048,8,8,64,9.643666666
1,2048x2048,16,16,256,7.959143333
1,2048x2048,32,32,1024,.021310233
1,2048x2048,64,64,4096,.020830233
1,2048x2048,128,128,16384,.020894333
1,2048x2048,256,256,65536,.020802000
1,2048x2048,512,512,262144,.020800800
1,2048x2048,1024,1024,1048576,.020737300
1,4096x4096,2,2,4,666.260333333
1,4096x4096,4,4,16,173.999666666
1,4096x4096,8,8,64,73.181933333
1,4096x4096,16,16,256,61.928266666
1,4096x4096,32,32,1024,.082990933
1,4096x4096,64,64,4096,.081132333
1,4096x4096,128,128,16384,.080994766
1,4096x4096,256,256,65536,.080760466
1,4096x4096,512,512,262144,.081391633
1,4096x4096,1024,1024,1048576,.080744533
